default,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX_X2,EDUCATION_X1,EDUCATION_X2,EDUCATION_X3,EDUCATION_X4,EDUCATION_X5,EDUCATION_X6,MARRIAGE_X1,MARRIAGE_X2,MARRIAGE_X3
1,2e4,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1,12e4,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1e3,1e3,1e3,0,2e3,1,0,1,0,0,0,0,0,1,0
0,9e4,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1e3,1e3,1e3,5e3,1,0,1,0,0,0,0,0,1,0
0,5e4,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2e3,2019,1200,1100,1069,1e3,1,0,1,0,0,0,0,1,0,0
0,5e4,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1e3,1e3,800,0,1,0,0,0,0,0,0,1,0
0,5e5,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55e3,4e4,38e3,20239,13750,13770,0,1,0,0,0,0,0,0,1,0
0,2e5,34,0,0,2,0,0,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,1,0,0,1,0,0,0,0,1,0
0,63e4,41,-1,0,-1,-1,-1,-1,12137,6500,6500,6500,6500,2870,1e3,6500,6500,6500,2870,0,1,0,1,0,0,0,0,0,1,0
1,7e4,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894,3200,0,3e3,3e3,1500,0,0,0,1,0,0,0,0,0,1,0
0,5e4,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,1,0,0,1,0,0,0,0,0,1
1,2e4,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,0,1,0,0,0,0,0,0,1,0
0,32e4,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,1e4,75940,2e4,195599,5e4,0,1,0,0,0,0,0,1,0,0
